Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.120833,0.300348,0.038747,0.138695,-0.999998,0.000214,-0.00198,-0.00012,-1,0.056777,0.120869,0.253957,-0.530026,-0.214335,-0.820421,0.006477,-1,0.228298,0.234068,0.170079,-0.320618,-0.622123,-0.645006,0.306814,-1,0.378029,-0.107529,0.134034,0.225673,-0.107816,0.133834,0.380939,0.197512,0.130945,0.223286,0.038844,0.125362,0.218664,0.195301,0.128572,0.298313,0.197832,0.129829,0.299068,0.039076,0.124135,0.380599,0.038958,0.123652,0.298711,-0.108013,0.132296
0.125000,0.300337,0.038686,0.137668,-1.0,0.000254,0.00028,-0.000212,-1,0.056088,0.121289,0.253299,-0.527988,-0.213912,-0.821848,0.005988,-1,0.228171,0.234008,0.17008,-0.32069,-0.622202,-0.64486,0.306886,-1,0.377987,-0.107485,0.134019,0.225639,-0.10778,0.133829,0.380889,0.197562,0.130899,0.22324,0.038897,0.125316,0.21859,0.1954,0.128445,0.298271,0.197876,0.129795,0.299019,0.039122,0.124094,0.380563,0.038991,0.123623,0.298666,-0.107964,0.132281
0.129167,0.300312,0.03872,0.137619,-1.0,0.000199,0.000364,-0.000193,-1,0.056083,0.121252,0.253294,-0.528112,-0.213747,-0.821811,0.006117,-1,0.228362,0.233779,0.1705,-0.322843,-0.623909,-0.642584,0.305934,-1,0.377963,-0.107455,0.134002,0.22561,-0.107747,0.133832,0.380844,0.197604,0.13086,0.223188,0.038922,0.125265,0.218518,0.195496,0.128327,0.298219,0.197894,0.129764,0.298966,0.039159,0.124059,0.380527,0.03903,0.123603,0.298628,-0.107929,0.13227
0.133333,0.300268,0.038755,0.137596,-1.0,0.00017,0.000388,-0.000201,-1,0.056918,0.120684,0.254098,-0.530949,-0.21367,-0.819993,0.007059,-1,0.228211,0.233738,0.170466,-0.322787,-0.624008,-0.642467,0.306038,-1,0.377931,-0.107408,0.133993,0.225626,-0.107988,0.133536,0.380792,0.197662,0.130826,0.223138,0.038971,0.12522,0.218453,0.195589,0.128217,0.298167,0.197949,0.129715,0.29892,0.039209,0.124024,0.38049,0.039073,0.12357,0.29858,-0.10789,0.132272
0.137500,0.300247,0.038771,0.137641,-1.0,0.000159,0.000307,-0.000191,-1,0.056937,0.120657,0.254128,-0.531047,-0.213558,-0.819959,0.007086,-1,0.228096,0.233679,0.170476,-0.322763,-0.624066,-0.642375,0.306139,-1,0.377912,-0.10739,0.133995,0.225631,-0.107972,0.133542,0.380763,0.197676,0.130824,0.223114,0.038987,0.12521,0.218431,0.195628,0.128176,0.298144,0.197963,0.1297,0.298894,0.039221,0.12403,0.380463,0.039081,0.12357,0.298563,-0.107868,0.132265
0.141667,0.300229,0.038786,0.137615,-1.0,0.000147,0.000366,-0.000185,-1,0.056924,0.120654,0.254146,-0.531012,-0.213403,-0.820022,0.007083,-1,0.22799,0.233591,0.170516,-0.322817,-0.624153,-0.642212,0.306244,-1,0.377893,-0.107372,0.134013,0.225617,-0.107959,0.133558,0.380748,0.197683,0.13081,0.223092,0.039005,0.125213,0.218404,0.195638,0.128175,0.298115,0.197975,0.129707,0.298872,0.039245,0.124033,0.380453,0.0391,0.123573,0.298544,-0.107856,0.132272
0.145833,0.300221,0.038768,0.137612,-1.0,0.000148,0.000424,-0.000197,-1,0.05603,0.121198,0.253342,-0.528077,-0.213139,-0.82199,0.006188,-1,0.227901,0.233438,0.17062,-0.32278,-0.623969,-0.642263,0.306553,-1,0.377895,-0.107394,0.134024,0.225609,-0.107967,0.133589,0.380749,0.19767,0.13083,0.223089,0.03899,0.125232,0.218421,0.195605,0.128218,0.298116,0.19795,0.129728,0.298867,0.039219,0.124052,0.380451,0.039084,0.12359,0.298544,-0.107865,0.132289
0.150000,0.30022,0.038877,0.138396,-0.999999,-0.000123,-0.001114,-6.2e-05,-1,0.055986,0.121194,0.25333,-0.527813,-0.213012,-0.822193,0.006114,-1,0.227786,0.233262,0.170718,-0.3227,-0.623767,-0.642325,0.306917,-1,0.3779,-0.107413,0.134046,0.225547,-0.107691,0.133866,0.380763,0.19764,0.13086,0.22311,0.038972,0.125264,0.218445,0.195551,0.128274,0.298136,0.197935,0.129762,0.298885,0.039196,0.124063,0.380455,0.039062,0.123612,0.298555,-0.107895,0.132315
0.154167,0.300252,0.038703,0.137629,-1.0,0.000193,0.000445,-0.000206,-1,0.055997,0.12116,0.25335,-0.527622,-0.212961,-0.82233,0.006027,-1,0.227358,0.233379,0.170221,-0.320698,-0.623048,-0.643733,0.307525,-1,0.377929,-0.107455,0.134053,0.225584,-0.107726,0.133878,0.380805,0.197586,0.130898,0.223153,0.038928,0.125307,0.218509,0.195469,0.128362,0.298187,0.197894,0.129814,0.298927,0.039139,0.124093,0.380491,0.039024,0.123649,0.298587,-0.107939,0.13233
0.158333,0.300285,0.038788,0.138449,-0.999999,-4e-06,-0.001187,-7.6e-05,-1,0.056018,0.121152,0.253381,-0.527453,-0.212932,-0.822447,0.005897,-1,0.227868,0.232492,0.171504,-0.326227,-0.627303,-0.637643,0.305743,-1,0.377963,-0.107486,0.134076,0.225613,-0.107766,0.133904,0.380857,0.197547,0.130929,0.223208,0.038891,0.125343,0.218595,0.195389,0.128483,0.298231,0.197863,0.129843,0.298976,0.039111,0.12414,0.380532,0.038994,0.123672,0.298631,-0.107973,0.132352
0.162500,0.300301,0.03874,0.138713,-0.999998,0.000213,-0.001905,-0.00012,-1,0.05599,0.121189,0.253366,-0.527061,-0.212917,-0.822704,0.005642,-1,0.227851,0.232302,0.171634,-0.326408,-0.627278,-0.637489,0.305921,-1,0.378007,-0.107524,0.134092,0.225655,-0.1078,0.133912,0.380911,0.197496,0.130976,0.223257,0.038854,0.125394,0.218669,0.195299,0.12859,0.298283,0.197828,0.129859,0.299025,0.039071,0.124167,0.380571,0.038959,0.123684,0.298684,-0.108011,0.132376
0.166667,0.300337,0.038739,0.13871,-0.999998,0.000225,-0.001906,-0.00013,-1,0.056012,0.121156,0.253413,-0.527017,-0.212824,-0.822756,0.005647,-1,0.227783,0.232158,0.17172,-0.326519,-0.627375,-0.637249,0.306104,-1,0.378039,-0.107519,0.134089,0.225687,-0.107811,0.133915,0.380943,0.197502,0.130974,0.223291,0.038852,0.125403,0.218699,0.195267,0.128632,0.298317,0.197816,0.129858,0.299067,0.039073,0.12417,0.380603,0.03895,0.123687,0.298723,-0.108011,0.132374
0.170833,0.300362,0.038724,0.138723,-0.999998,0.000244,-0.001943,-0.000142,-1,0.056,0.121137,0.253428,-0.52688,-0.212736,-0.822867,0.005594,-1,0.227762,0.231952,0.171829,-0.32671,-0.62723,-0.637191,0.306318,-1,0.378065,-0.10753,0.134085,0.22572,-0.107809,0.133905,0.380969,0.197484,0.130983,0.223313,0.038838,0.12541,0.218716,0.195233,0.128655,0.298345,0.197807,0.129868,0.299096,0.039056,0.124175,0.380618,0.038938,0.12367,0.298761,-0.108023,0.132374
0.175000,0.300366,0.038729,0.138688,-0.999998,0.000259,-0.00189,-0.000152,-1,0.05599,0.121118,0.253473,-0.526851,-0.212632,-0.822912,0.005587,-1,0.227649,0.231818,0.171887,-0.326826,-0.627399,-0.636912,0.30643,-1,0.378081,-0.107515,0.134083,0.225737,-0.107804,0.133902,0.380973,0.197492,0.130982,0.223322,0.038839,0.125405,0.218706,0.195235,0.128657,0.298348,0.197814,0.129861,0.299101,0.039052,0.124171,0.380622,0.038943,0.123664,0.298771,-0.108012,0.132373
0.179167,0.300368,0.038613,0.137821,-1.0,0.000544,-0.000123,-0.000304,-1,0.056004,0.121066,0.253539,-0.526957,-0.212527,-0.822871,0.00562,-1,0.227545,0.2317,0.171903,-0.326954,-0.627711,-0.636576,0.306352,-1,0.378095,-0.107513,0.134068,0.225748,-0.107802,0.133897,0.380965,0.197476,0.130972,0.223322,0.038828,0.12541,0.218687,0.195239,0.128628,0.298347,0.197797,0.129852,0.299104,0.039048,0.124166,0.380624,0.038933,0.123666,0.298777,-0.108019,0.132354
0.183333,0.300367,0.038634,0.137802,-1.0,0.000519,-0.00014,-0.000299,-1,0.055974,0.121047,0.253573,-0.526989,-0.212379,-0.822888,0.005664,-1,0.227423,0.231612,0.171867,-0.326928,-0.627858,-0.636437,0.306368,-1,0.378093,-0.107489,0.134033,0.225738,-0.10778,0.133863,0.380947,0.197498,0.130949,0.223304,0.038846,0.125383,0.218661,0.19526,0.128599,0.29833,0.197819,0.129828,0.299086,0.039065,0.12415,0.380618,0.038954,0.123645,0.298775,-0.107997,0.132319
0.187500,0.300397,0.038651,0.137614,-1.0,0.000317,0.000397,-0.000254,-1,0.055984,0.120987,0.253627,-0.527148,-0.212254,-0.822818,0.00575,-1,0.226803,0.232303,0.170532,-0.321338,-0.623823,-0.642384,0.308108,-1,0.378084,-0.107491,0.134017,0.225722,-0.107788,0.133839,0.380944,0.197506,0.13091,0.223301,0.038842,0.125344,0.21863,0.195301,0.128515,0.298329,0.197825,0.129792,0.29909,0.039069,0.124107,0.380622,0.038965,0.123625,0.29876,-0.107999,0.132285
0.191667,0.300385,0.038673,0.137569,-1.0,0.000265,0.00044,-0.000246,-1,0.056034,0.1209,0.253736,-0.527546,-0.212063,-0.822611,0.005973,-1,0.226711,0.232235,0.170473,-0.321492,-0.624245,-0.641975,0.307942,-1,0.378056,-0.107479,0.133987,0.225693,-0.107771,0.133813,0.380923,0.19755,0.130863,0.22328,0.038878,0.125292,0.218588,0.195372,0.128413,0.298319,0.197858,0.129756,0.299071,0.039108,0.124061,0.380614,0.038995,0.123592,0.298729,-0.107972,0.132245
0.195833,0.300366,0.038686,0.137596,-1.0,0.000217,0.000368,-0.000231,-1,0.056041,0.120832,0.253826,-0.527819,-0.211862,-0.822486,0.006127,-1,0.226476,0.231896,0.170691,-0.320952,-0.622563,-0.64318,0.309395,-1,0.378013,-0.107484,0.133981,0.225659,-0.107779,0.133799,0.380886,0.197578,0.130834,0.22325,0.038903,0.125273,0.218541,0.195449,0.128302,0.298283,0.197883,0.129717,0.299046,0.039132,0.124047,0.380595,0.039015,0.123579,0.298696,-0.107966,0.132247
0.200000,0.300331,0.038711,0.137583,-1.0,0.000176,0.000423,-0.000218,-1,0.056032,0.120774,0.253929,-0.528092,-0.211666,-0.82236,0.006294,-1,0.226349,0.231809,0.170654,-0.32103,-0.6228,-0.64297,0.309273,-1,0.377965,-0.107478,0.134018,0.225597,-0.107755,0.133814,0.380843,0.197626,0.130819,0.223201,0.038943,0.125246,0.21848,0.195528,0.128253,0.298234,0.197919,0.12971,0.298996,0.039177,0.124031,0.380544,0.039056,0.12358,0.298627,-0.107938,0.132258
0.204167,0.300293,0.038725,0.137594,-1.0,0.000144,0.000418,-0.000228,-1,0.056048,0.12071,0.25405,-0.528398,-0.211503,-0.822205,0.006405,-1,0.226204,0.231716,0.170603,-0.320904,-0.622894,-0.642918,0.30932,-1,0.377932,-0.107447,0.13401,0.225623,-0.108041,0.133551,0.380808,0.197635,0.130805,0.223167,0.038954,0.12523,0.218444,0.195562,0.128209,0.298197,0.197933,0.129702,0.298954,0.039203,0.124039,0.380516,0.039067,0.123577,0.298595,-0.107921,0.132277
