Time,X,Y,Z,w,x,y,z,X,Y,Z,w,x,y,z,X,Y,Z,w,x,y,z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.095833,0.043921,0.385508,-0.061417,-0.646493,-0.756630,-0.036517,0.090684,0.314403,0.307910,0.191698,-0.514247,-0.667042,0.239663,-0.482873,0.038917,0.137649,0.300021,-0.999998,0.001822,0.000839,-0.000751,0.038979,0.124363,0.380480,0.038876,0.127162,0.223169,0.333175,0.317782,0.245067,0.039129,0.125343,0.298991,0.195480,0.129310,0.218468,-0.107744,0.133393,0.225696,0.197921,0.130497,0.298302,-0.107683,0.133089,0.298590,0.197727,0.131055,0.380904,-0.107568,0.133594,0.377931,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000,0.044052,0.385740,-0.061445,-0.646819,-0.756430,-0.038077,0.089388,0.314378,0.307912,0.191709,-0.514252,-0.666929,0.239561,-0.483073,0.038909,0.137676,0.300018,-0.999998,0.001741,0.000822,-0.000711,0.038983,0.124370,0.380482,0.038875,0.127173,0.223178,0.333152,0.317804,0.245078,0.039130,0.125357,0.298991,0.195474,0.129308,0.218454,-0.107756,0.133402,0.225692,0.197924,0.130508,0.298301,-0.107681,0.133102,0.298601,0.197717,0.131045,0.380898,-0.107566,0.133584,0.377940,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.104167,0.044053,0.385732,-0.061436,-0.646864,-0.756402,-0.038164,0.089257,0.314333,0.307961,0.191723,-0.514372,-0.666738,0.239542,-0.483220,0.039048,0.138764,0.299979,-0.999999,-0.001470,0.000612,0.000445,0.038988,0.124366,0.380468,0.038881,0.127168,0.223158,0.333133,0.317825,0.245073,0.039139,0.125356,0.298975,0.195490,0.129299,0.218427,-0.107755,0.133407,0.225686,0.197930,0.130493,0.298292,-0.107680,0.133087,0.298590,0.197715,0.131057,0.380891,-0.107560,0.133578,0.377923,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.108333,0.044052,0.385717,-0.061412,-0.646935,-0.756353,-0.038276,0.089109,0.314278,0.308016,0.191750,-0.514539,-0.666488,0.239536,-0.483389,0.039039,0.138729,0.299982,-0.999999,-0.001393,0.000601,0.000444,0.038984,0.124353,0.380474,0.038870,0.127169,0.223164,0.333097,0.317852,0.245086,0.039134,0.125347,0.298983,0.195492,0.129268,0.218440,-0.107757,0.133396,0.225690,0.197924,0.130488,0.298292,-0.107687,0.133093,0.298596,0.197717,0.131049,0.380900,-0.107569,0.133598,0.377926,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.112500,0.044070,0.385711,-0.061391,-0.647037,-0.756268,-0.038292,0.089079,0.314270,0.308049,0.191772,-0.514629,-0.666324,0.239469,-0.483554,0.038920,0.137627,0.300008,-0.999998,0.001810,0.000830,-0.000726,0.038986,0.124341,0.380468,0.038880,0.127152,0.223160,0.333037,0.317912,0.245111,0.039141,0.125330,0.298980,0.195494,0.129284,0.218438,-0.107742,0.133387,0.225697,0.197924,0.130472,0.298288,-0.107686,0.133068,0.298584,0.197735,0.131029,0.380902,-0.107561,0.133566,0.377924,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116667,0.044085,0.385694,-0.061369,-0.647128,-0.756194,-0.038318,0.089036,0.314261,0.308093,0.191794,-0.514755,-0.666134,0.239402,-0.483714,0.039050,0.138770,0.299988,-0.999999,-0.001544,0.000687,0.000486,0.038976,0.124338,0.380463,0.038871,0.127131,0.223155,0.332986,0.317999,0.245128,0.039138,0.125309,0.298972,0.195474,0.129274,0.218450,-0.107730,0.133368,0.225700,0.197929,0.130475,0.298285,-0.107698,0.133057,0.298575,0.197748,0.131013,0.380910,-0.107564,0.133567,0.377923,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120833,0.044125,0.385674,-0.061367,-0.647193,-0.756139,-0.038384,0.089006,0.314254,0.308146,0.191782,-0.514835,-0.665972,0.239395,-0.483856,0.039054,0.138798,0.299962,-0.999998,-0.001610,0.000693,0.000516,0.038977,0.124338,0.380438,0.038880,0.127124,0.223125,0.332929,0.318082,0.245143,0.039148,0.125310,0.298946,0.195477,0.129276,0.218446,-0.107715,0.133365,0.225689,0.197930,0.130471,0.298261,-0.107698,0.133074,0.298540,0.197770,0.131012,0.380906,-0.107569,0.133571,0.377890,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.125000,0.044149,0.385686,-0.061366,-0.647301,-0.756049,-0.038462,0.088956,0.314199,0.308247,0.191769,-0.515022,-0.665722,0.239483,-0.483958,0.039045,0.138803,0.299914,-0.999999,-0.001552,0.000629,0.000456,0.038967,0.124349,0.380403,0.038873,0.127138,0.223091,0.332882,0.318162,0.245145,0.039135,0.125326,0.298906,0.195459,0.129294,0.218445,-0.107698,0.133371,0.225663,0.197922,0.130471,0.298226,-0.107706,0.133089,0.298505,0.197781,0.131016,0.380885,-0.107571,0.133576,0.377849,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129167,0.044190,0.385684,-0.061380,-0.647364,-0.755985,-0.038472,0.089029,0.314183,0.308319,0.191733,-0.515100,-0.665566,0.239490,-0.484085,0.039041,0.138811,0.299869,-0.999999,-0.001555,0.000622,0.000454,0.038968,0.124367,0.380352,0.038884,0.127144,0.223051,0.332844,0.318261,0.245138,0.039136,0.125331,0.298852,0.195467,0.129301,0.218425,-0.107683,0.133384,0.225620,0.197927,0.130488,0.298186,-0.107715,0.133110,0.298454,0.197789,0.131027,0.380856,-0.107570,0.133593,0.377789,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133333,0.044210,0.385669,-0.061387,-0.647411,-0.755944,-0.038520,0.089016,0.314152,0.308402,0.191716,-0.515207,-0.665407,0.239515,-0.484178,0.039021,0.139040,0.299814,-0.999997,-0.002186,0.000597,0.000607,0.038957,0.124380,0.380328,0.038877,0.127149,0.223026,0.332791,0.318336,0.245151,0.039136,0.125337,0.298838,0.195455,0.129328,0.218431,-0.107686,0.133402,0.225586,0.197921,0.130496,0.298165,-0.107725,0.133119,0.298434,0.197775,0.131049,0.380835,-0.107584,0.133605,0.377760,,,,,,,,,,,,,,,,,,,,,,,,,,,
