Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
chisel_x,chisel_y,chisel_z,chisel_w,chisel_X,chisel_Y,chisel_Z,gripper_x,gripper_y,gripper_z,gripper_w,gripper_X,gripper_Y,gripper_Z,battery_x,battery_y,battery_z,battery_w,battery_X,battery_Y,battery_Z,A2_X,A2_Y,A2_Z,A1_X,A1_Y,A1_Z,A3_X,A3_Y,A3_Z,B2_X,B2_Y,B2_Z,B3_X,B3_Y,B3_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,B1_X,B1_Y,B1_Z
-0.911719,0.009734,-0.012717,-0.410502,-0.105292,0.155528,0.211055,-0.823044,-0.255851,-0.055271,-0.504068,-0.283594,0.254764,0.227678,-0.000745,0.000048,-0.000002,-1.000000,0.038895,0.138361,0.300261,0.198106,0.129170,0.298358,0.197815,0.130612,0.380957,0.196057,0.127814,0.218806,0.039432,0.124958,0.299145,0.039010,0.126453,0.223266,-0.107391,0.133720,0.378022,-0.107813,0.131887,0.298757,-0.107614,0.133393,0.225758,0.039159,0.124201,0.380603
-0.911802,0.010201,-0.012174,-0.410323,-0.105365,0.155414,0.211023,-0.822842,-0.255724,-0.055249,-0.504464,-0.283658,0.254842,0.227764,-0.000761,0.000039,-0.000006,-1.000000,0.038891,0.138387,0.300254,0.198105,0.129199,0.298354,0.197806,0.130632,0.380948,0.196047,0.127828,0.218787,0.039420,0.124982,0.299132,0.039003,0.126461,0.223249,-0.107400,0.133740,0.378023,-0.107821,0.131908,0.298749,-0.107617,0.133413,0.225752,0.039146,0.124221,0.380588
-0.911873,0.010683,-0.011625,-0.410168,-0.105434,0.155315,0.210988,-0.822786,-0.255684,-0.055210,-0.504579,-0.283684,0.254898,0.227770,-0.000755,-0.000018,-0.000021,-1.000000,0.038861,0.138412,0.300220,0.198099,0.129209,0.298339,0.197799,0.130648,0.380940,0.196048,0.127844,0.218753,0.039416,0.125011,0.299115,0.039005,0.126474,0.223224,-0.107416,0.133760,0.378008,-0.107834,0.131920,0.298744,-0.107626,0.133429,0.225734,0.039144,0.124252,0.380575
-0.911985,0.011184,-0.011007,-0.409923,-0.105515,0.155174,0.210952,-0.822663,-0.255652,-0.055181,-0.504800,-0.283722,0.254951,0.227822,-0.000528,-0.000038,0.000017,-1.000000,0.038815,0.138303,0.300224,0.198065,0.129230,0.298343,0.197764,0.130658,0.380941,0.196028,0.127843,0.218747,0.039391,0.125012,0.299118,0.038986,0.126461,0.223217,-0.107440,0.133776,0.378012,-0.107846,0.131937,0.298736,-0.107650,0.133427,0.225738,0.039112,0.124249,0.380582
-0.912049,0.011568,-0.010526,-0.409783,-0.105571,0.155066,0.210933,-0.822775,-0.255786,-0.055166,-0.504551,-0.283690,0.254951,0.227745,-0.000582,-0.000032,0.000032,-1.000000,0.038802,0.138330,0.300221,0.198055,0.129226,0.298341,0.197746,0.130667,0.380939,0.196016,0.127832,0.218745,0.039378,0.125011,0.299114,0.038973,0.126454,0.223203,-0.107451,0.133771,0.378009,-0.107866,0.131932,0.298736,-0.107679,0.133433,0.225726,0.039101,0.124255,0.380575
-0.912132,0.011955,-0.010009,-0.409601,-0.105635,0.154929,0.210912,-0.822836,-0.255851,-0.055132,-0.504423,-0.283690,0.254946,0.227702,-0.000539,0.000033,0.000054,-1.000000,0.038802,0.138292,0.300241,0.198034,0.129228,0.298348,0.197735,0.130653,0.380939,0.195993,0.127803,0.218752,0.039364,0.124986,0.299123,0.038956,0.126425,0.223212,-0.107473,0.133762,0.378013,-0.107877,0.131920,0.298742,-0.107689,0.133410,0.225731,0.039086,0.124246,0.380580
-0.912216,0.012234,-0.009583,-0.409415,-0.105655,0.154809,0.210889,-0.822847,-0.255928,-0.055169,-0.504360,-0.283677,0.254970,0.227674,-0.000579,0.000034,0.000056,-1.000000,0.038802,0.138298,0.300238,0.198034,0.129216,0.298345,0.197730,0.130643,0.380941,0.195996,0.127795,0.218756,0.039363,0.124983,0.299127,0.038954,0.126417,0.223213,-0.107468,0.133744,0.378004,-0.107870,0.131901,0.298741,-0.107700,0.133400,0.225731,0.039089,0.124233,0.380583
-0.912305,0.012293,-0.009395,-0.409220,-0.105655,0.154680,0.210871,-0.822711,-0.255932,-0.055249,-0.504572,-0.283701,0.255020,0.227735,-0.000584,0.000028,0.000057,-1.000000,0.038801,0.138290,0.300250,0.198030,0.129189,0.298353,0.197736,0.130630,0.380948,0.195987,0.127792,0.218776,0.039367,0.124972,0.299138,0.038952,0.126409,0.223227,-0.107468,0.133742,0.378014,-0.107873,0.131898,0.298751,-0.107694,0.133394,0.225743,0.039087,0.124211,0.380595
-0.912388,0.012309,-0.009270,-0.409035,-0.105628,0.154560,0.210842,-0.822781,-0.255995,-0.055318,-0.504418,-0.283682,0.255006,0.227677,-0.000557,0.000034,0.000052,-1.000000,0.038823,0.138268,0.300257,0.198050,0.129175,0.298353,0.197756,0.130626,0.380947,0.195994,0.127789,0.218789,0.039384,0.124966,0.299138,0.038958,0.126428,0.223244,-0.107455,0.133722,0.378017,-0.107862,0.131894,0.298755,-0.107677,0.133400,0.225754,0.039104,0.124211,0.380591
-0.912445,0.012226,-0.009213,-0.408912,-0.105592,0.154445,0.210833,-0.822696,-0.255956,-0.055393,-0.504569,-0.283707,0.255022,0.227711,-0.000550,0.000031,0.000046,-1.000000,0.038840,0.138242,0.300271,0.198068,0.129152,0.298355,0.197787,0.130595,0.380959,0.196010,0.127772,0.218810,0.039395,0.124945,0.299148,0.038959,0.126412,0.223266,-0.107431,0.133707,0.378026,-0.107845,0.131859,0.298762,-0.107660,0.133382,0.225761,0.039121,0.124190,0.380605
